Date,Time Play,Ad Appear,Platform,Images,videoID
10-Apr,Time Played:42m,Game:Genshin,Platform:Youtube,Genshin.png,W-BF9RWkBoM
11-Apr, Time Played:38m,Game:TFT, Platform:Youtube,pengu.png,rAFzCr-ATt0
12-Apr,Time Played:45m,Chess,Platform:Youtube,chess.png,e3cUCbgbbP0
13-Apr,Time Played:9m,Game:Project Sekai,Platform:Youtube,sekai.png,4D8E0rtetxw
14-Apr,Time Played:30m,Game:MineCraft,Platform:Youtube,mineCraft.png,8VLVJyo5Uw8
15-Apr,Time Played:5m,Game:Project Sekai,Platform:Youtube,sekai.png,NXfqAJTHrhM
16-Apr,Time Played:3m,Game:Wordle,Platform:Youtube,wordle.png,7ZkVZkq_Q94
17-Apr,Time Played:3m,Game:Wordle,Platform:Youtube,wordle.png,yeIufgCVPJs
18-Apr,Time Played:40m,Game:Chess,Platform:Youtube,chess.png,VWQahpHGq1I
19-Apr,Time Played:4m,Game:Geometry Dash,Platform:Youtube,geo.PNG,FdeLnF8dghs
20-Apr,Time Played:4m,Game:Wordle,Platform:Youtube,wordle.png,rk1kpUS0jj0
21-Apr,Time Played:45m,Game:MineCraft,Platform:Youtube,mineCraft.png,JSBwGcJvHK8
22-Apr,Time Played:10m,Game:Temple Run,Platform:Youtube,temple.png,qAvjeUdh-iQ
23-Apr,Time Played:6m,Game:Fruit Ninja,Platform:Youtube,fruit.png,zXeOFwQdZgw
24-Apr,Time Played:5m,Game:Wordle,Platform:Youtube,wordle.png,I0UfALlSHQk
